发生变化的参数 (按变化量排序):
llama.model.layers.14.self_attn.k_proj.weight: 0.018555
llama.model.layers.13.self_attn.k_proj.weight: 0.016724
llama.model.layers.10.self_attn.k_proj.weight: 0.015747
llama.model.layers.7.self_attn.k_proj.weight: 0.015442
llama.model.layers.12.self_attn.k_proj.weight: 0.015442
llama.model.layers.9.self_attn.k_proj.weight: 0.015137
llama.model.layers.3.self_attn.k_proj.weight: 0.015015
llama.model.layers.6.self_attn.k_proj.weight: 0.014771
llama.model.layers.4.self_attn.k_proj.weight: 0.014648
llama.model.layers.8.self_attn.k_proj.weight: 0.014587
llama.model.layers.5.self_attn.k_proj.weight: 0.014526
llama.model.layers.2.self_attn.k_proj.weight: 0.014465
llama.model.layers.11.self_attn.k_proj.weight: 0.014404
llama.model.layers.1.self_attn.k_proj.weight: 0.013733
llama.model.layers.0.self_attn.k_proj.weight: 0.012756
audio_embedding_last_Linear.0.bias: 0.005582
audio_embedding_last_Linear.2.bias: 0.002796
llama.model.layers.0.input_layernorm.weight: 0.000479
llama.model.layers.1.input_layernorm.weight: 0.000196
llama.model.layers.1.post_attention_layernorm.weight: 0.000164
llama.model.layers.5.post_attention_layernorm.weight: 0.000139
llama.model.layers.0.post_attention_layernorm.weight: 0.000112
llama.model.layers.2.post_attention_layernorm.weight: 0.000101
llama.model.layers.3.post_attention_layernorm.weight: 0.000089
llama.model.layers.2.input_layernorm.weight: 0.000066
llama.model.layers.4.post_attention_layernorm.weight: 0.000066
